Chlorophanes spiza_Green Honeycreeper
Busarellus nigricollis_Black-collared Hawk
Sclateria naevia_Silvered Antbird
Pachyramphus marginatus_Black-capped Becard
Glaucidium hardyi_Amazonian Pygmy-Owl
Tolmomyias assimilis_Yellow-margined Flycatcher
Loriotus luctuosus_White-shouldered Tanager
Ara ararauna_Blue-and-yellow Macaw
Terenotriccus erythrurus_Ruddy-tailed Flycatcher
Celeus torquatus_Ringed Woodpecker
Cantorchilus leucotis_Buff-breasted Wren
Pachyramphus minor_Pink-throated Becard
Pseudastur albicollis_White Hawk
Corythopis torquatus_Ringed Antpipit
Sporophila collaris_Rusty-collared Seedeater
Cacicus haemorrhous_Red-rumped Cacique
Nyctipolus nigrescens_Blackish Nightjar
Stercorarius skua_Great Skua
Touit purpuratus_Sapphire-rumped Parrotlet
Ramphastos vitellinus_Channel-billed Toucan
Hydroprogne caspia_Caspian Tern
Florisuga mellivora_White-necked Jacobin
Piprites chloris_Wing-barred Piprites
Patagioenas plumbea_Plumbeous Pigeon
Tunchiornis ochraceiceps_Tawny-crowned Greenlet
Antrostomus sericocaudatus_Silky-tailed Nightjar
Mionectes macconnelli_McConnell's Flycatcher
Chloroceryle aenea_American Pygmy Kingfisher
Geothlypis aequinoctialis_Masked Yellowthroat
Myrmotherula menetriesii_Gray Antwren
Ara chloropterus_Red-and-green Macaw
Anhima cornuta_Horned Screamer
Colonia colonus_Long-tailed Tyrant
Ixobrychus involucris_Stripe-backed Bittern
Tinamus tao_Gray Tinamou
Campylopterus largipennis_Gray-breasted Sabrewing
Celeus obrieni_Kaempfer's Woodpecker
Ramphastos tucanus_White-throated Toucan
Notharchus tectus_Pied Puffbird
Pitangus lictor_Lesser Kiskadee
Turdus fumigatus_Cocoa Thrush
Coccycua minuta_Little Cuckoo
Chloroceryle inda_Green-and-rufous Kingfisher
Riparia riparia_Bank Swallow
Chelidoptera tenebrosa_Swallow-winged Puffbird
Cercomacra cinerascens_Gray Antbird
Ramphotrigon ruficauda_Rufous-tailed Flatbill
Heliomaster longirostris_Long-billed Starthroat
Campephilus rubricollis_Red-necked Woodpecker
Rissa tridactyla_Black-legged Kittiwake
Pseudoseisura cristata_Caatinga Cacholote
Alipiopsitta xanthops_Yellow-faced Parrot
Pachyramphus rufus_Cinereous Becard
Tachyphonus surinamus_Fulvous-crested Tanager
Jacamerops aureus_Great Jacamar
Plegadis falcinellus_Glossy Ibis
Charadrius dubius_Little Ringed Plover
Euphonia cayennensis_Golden-sided Euphonia
Chordeiles minor_Common Nighthawk
Phoenicircus carnifex_Guianan Red-Cotinga
Sporophila leucoptera_White-bellied Seedeater
Tityra cayana_Black-tailed Tityra
Thamnomanes caesius_Cinereous Antshrike
Celeus flavus_Cream-colored Woodpecker
Tyrannopsis sulphurea_Sulphury Flycatcher
Phaethon aethereus_Red-billed Tropicbird
Pionus maximiliani_Scaly-headed Parrot
Celeus undatus_Waved Woodpecker
Ciccaba huhula_Black-banded Owl
Formicarius colma_Rufous-capped Antthrush
Querula purpurata_Purple-throated Fruitcrow
Sylvia atricapilla_Eurasian Blackcap
Onychorhynchus coronatus_Royal Flycatcher
Myiopagis gaimardii_Forest Elaenia
Myrmotherula longipennis_Long-winged Antwren
Harpia harpyja_Harpy Eagle
Sporophila plumbea_Plumbeous Seedeater
Nyctiprogne leucopyga_Band-tailed Nighthawk
Ara macao_Scarlet Macaw
Topaza pella_Crimson Topaz
