Quiscalus mexicanus_Great-tailed Grackle
Dendrortyx leucophrys_Buffy-crowned Wood-Partridge
Florisuga mellivora_White-necked Jacobin
Nyctiphrynus ocellatus_Ocellated Poorwill
Lampornis amethystinus_Amethyst-throated Mountain-gem
Empidonax fulvifrons_Buff-breasted Flycatcher
Turdus infuscatus_Black Thrush
Melozone leucotis_White-eared Ground-Sparrow
Sayornis nigricans_Black Phoebe
Leucophaeus pipixcan_Franklin's Gull
Loxia curvirostra_Red Crossbill
Peucaea botterii_Botteri's Sparrow
Trogon elegans_Elegant Trogon
Colibri delphinae_Brown Violetear
Contopus sordidulus_Western Wood-Pewee
Cyrtonyx ocellatus_Ocellated Quail
Catharus frantzii_Ruddy-capped Nightingale-Thrush
Amazilia luciae_Honduran Emerald
Charadrius collaris_Collared Plover
Arremon aurantiirostris_Orange-billed Sparrow
Icterus wagleri_Black-vented Oriole
Setophaga discolor_Prairie Warbler
Amazona auropalliata_Yellow-naped Parrot
Gallinago delicata_Wilson's Snipe
Cyanolyca pumilo_Black-throated Jay
Icterus pectoralis_Spot-breasted Oriole
Setophaga occidentalis_Hermit Warbler
Limnothlypis swainsonii_Swainson's Warbler
Streptoprocne rutila_Chestnut-collared Swift
Bartramia longicauda_Upland Sandpiper
Chordeiles minor_Common Nighthawk
Penelopina nigra_Highland Guan
Chlorospingus flavopectus_Common Chlorospingus
Spatula clypeata_Northern Shoveler
Ara macao_Scarlet Macaw
Xiphorhynchus erythropygius_Spotted Woodcreeper
Charadrius nivosus_Snowy Plover
Calidris fuscicollis_White-rumped Sandpiper
Leptotila cassinii_Gray-chested Dove
Terenotriccus erythrurus_Ruddy-tailed Flycatcher
Gampsonyx swainsonii_Pearl Kite
Patagioenas fasciata_Band-tailed Pigeon
Phaeochroa cuvierii_Scaly-breasted Hummingbird
Rhytipterna holerythra_Rufous Mourner
Selasphorus ellioti_Wine-throated Hummingbird
Heliomaster constantii_Plain-capped Starthroat
Antrostomus carolinensis_Chuck-will's-widow
Mareca americana_American Wigeon
Dactylortyx thoracicus_Singing Quail
Accipiter striatus_Sharp-shinned Hawk
Sterna forsteri_Forster's Tern
Colinus cristatus_Crested Bobwhite
Diglossa baritula_Cinnamon-bellied Flowerpiercer
Tachycineta thalassina_Violet-green Swallow
Rallus crepitans_Clapper Rail
Heliomaster longirostris_Long-billed Starthroat
Automolus ochrolaemus_Buff-throated Foliage-gleaner
Campylorhynchus yucatanicus_Yucatan Wren
Basileuterus delattrii_Chestnut-capped Warbler
Morococcyx erythropygus_Lesser Ground-Cuckoo
Phalaropus tricolor_Wilson's Phalarope
Salpinctes obsoletus_Rock Wren
Panyptila sanctihieronymi_Great Swallow-tailed Swift
Piranga leucoptera_White-winged Tanager
Malacoptila panamensis_White-whiskered Puffbird
Plegadis falcinellus_Glossy Ibis
Strix fulvescens_Fulvous Owl
Calidris canutus_Red Knot
Elaenia frantzii_Mountain Elaenia
Recurvirostra americana_American Avocet
Polioptila albiloris_White-lored Gnatcatcher
Myioborus miniatus_Slate-throated Redstart
Melozone biarcuata_White-faced Ground-Sparrow
Thalurania colombica_Crowned Woodnymph
Tyrannus forficatus_Scissor-tailed Flycatcher
Setophaga graciae_Grace's Warbler
Aeronautes saxatalis_White-throated Swift
Atlapetes albinucha_White-naped Brushfinch
Sclerurus guatemalensis_Scaly-throated Leaftosser
Lipaugus unirufus_Rufous Piha
Chaetura pelagica_Chimney Swift
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Sialia sialis_Eastern Bluebird
Vireo leucophrys_Brown-capped Vireo
Cardinalis cardinalis_Northern Cardinal
Basileuterus rufifrons_Rufous-capped Warbler
Troglodytes rufociliatus_Rufous-browed Wren
Anas acuta_Northern Pintail
Pluvialis dominica_American Golden-Plover
Dryobates villosus_Hairy Woodpecker
Asio flammeus_Short-eared Owl
Euphonia luteicapilla_Yellow-crowned Euphonia
Atticora pileata_Black-capped Swallow
Myiodynastes maculatus_Streaked Flycatcher
Pachyramphus cinnamomeus_Cinnamon Becard
Antrostomus ridgwayi_Buff-collared Nightjar
Jabiru mycteria_Jabiru
Setophaga cerulea_Cerulean Warbler
Microcerculus philomela_Nightingale Wren
Dysithamnus mentalis_Plain Antvireo
Cyanocorax melanocyaneus_Bushy-crested Jay
Electron carinatum_Keel-billed Motmot
Haematopus palliatus_American Oystercatcher
Chlorestes eliciae_Blue-throated Goldentail
Dendrocolaptes picumnus_Black-banded Woodcreeper
Myiothlypis fulvicauda_Buff-rumped Warbler
Setophaga townsendi_Townsend's Warbler
Thryophilus rufalbus_Rufous-and-white Wren
Coccyzus erythropthalmus_Black-billed Cuckoo
Passerculus sandwichensis_Savannah Sparrow
Picumnus olivaceus_Olivaceous Piculet
Xiphorhynchus susurrans_Cocoa Woodcreeper
Basileuterus lachrymosus_Fan-tailed Warbler
Myadestes occidentalis_Brown-backed Solitaire
Sclerurus mexicanus_Middle American Leaftosser
Pachyramphus polychopterus_White-winged Becard
Ramphastos ambiguus_Yellow-throated Toucan
Coereba flaveola_Bananaquit
Charadrius melodus_Piping Plover
Loriotus luctuosus_White-shouldered Tanager
Bombycilla cedrorum_Cedar Waxwing
Synallaxis brachyura_Slaty Spinetail
Zimmerius parvus_Mistletoe Tyrannulet
Turdus rufitorques_Rufous-collared Robin
