Pelecanus occidentalis_Brown Pelican
Schistochlamys melanopis_Black-faced Tanager
Pipreola arcuata_Barred Fruiteater
Knipolegus poecilurus_Rufous-tailed Tyrant
Setophaga caerulescens_Black-throated Blue Warbler
Donacobius atricapilla_Black-capped Donacobius
Vireo altiloquus_Black-whiskered Vireo
Odontophorus atrifrons_Black-fronted Wood-Quail
Aeronautes montivagus_White-tipped Swift
Ochthoeca rufipectoralis_Rufous-breasted Chat-Tyrant
Ramphastos sulfuratus_Keel-billed Toucan
Pachyramphus homochrous_One-colored Becard
Turdus olivater_Black-hooded Thrush
Setophaga pensylvanica_Chestnut-sided Warbler
Spizaetus isidori_Black-and-chestnut Eagle
Dendrocincla fuliginosa_Plain-brown Woodcreeper
Ampelion rubrocristatus_Red-crested Cotinga
Anas acuta_Northern Pintail
Pauxi pauxi_Helmeted Curassow
Spizaetus tyrannus_Black Hawk-Eagle
Pteroglossus torquatus_Collared Aracari
Colibri coruscans_Sparkling Violetear
Hellmayrea gularis_White-browed Spinetail
Hemitriccus granadensis_Black-throated Tody-Tyrant
Systellura longirostris_Band-winged Nightjar
Chaetura pelagica_Chimney Swift
Setophaga coronata_Yellow-rumped Warbler
Cyanerpes cyaneus_Red-legged Honeycreeper
Larus fuscus_Lesser Black-backed Gull
Catharus fuscater_Slaty-backed Nightingale-Thrush
Diglossa humeralis_Black Flowerpiercer
Ramphastos ambiguus_Yellow-throated Toucan
Microcerculus marginatus_Scaly-breasted Wren
Setophaga discolor_Prairie Warbler
Glaucidium jardinii_Andean Pygmy-Owl
Laterallus albigularis_White-throated Crake
Lepidocolaptes souleyetii_Streak-headed Woodcreeper
Dubusia taeniata_Buff-breasted Mountain Tanager
Basileuterus delattrii_Chestnut-capped Warbler
Asthenes perijana_Perija Thistletail
Setophaga tigrina_Cape May Warbler
Stercorarius pomarinus_Pomarine Jaeger
Buteo jamaicensis_Red-tailed Hawk
Geothlypis formosa_Kentucky Warbler
Mesembrinibis cayennensis_Green Ibis
Antrostomus rufus_Rufous Nightjar
Buteogallus solitarius_Solitary Eagle
Turdus grayi_Clay-colored Thrush
